X,Y,OBJECTID,NCESSCH,SURVYEAR,STABR,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LSTREET2,LCITY,LSTATE,LZIP,LZIP4,PHONE,CHARTER_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,STATUS,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,TOTFRL,FRELCH,REDLCH,DIRECTCERT,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,UG,AE,TOTMENROL,TOTFENROL,TOTAL,MEMBER,FTE,STUTERATIO,AMALM,AMALF,AM,ASALM,ASALF,AS,BLALM,BLALF,BL,HPALM,HPALF,HP,HIALM,HIALF,HI,TRALM,TRALF,TR,WHALM,WHALF,WH,LATCOD,LONCOD
-86.2062,34.2602,1,10000500870,2022-2023,AL,100005,AL-101,Albertville City,Albertville Middle School,600 E Alabama Ave,,Albertville,AL,35950,    ,(256)878-2341,No,Not Virtual,7,8,Middle,1,Regular School,Currently operational ,32-Town: Distant,Marshall County,697,654,43,587,,,,,,,,,440,450,,,,,,,,459,431,890,890,45,19.78,4,1,5,4,2,6,15,14,29,0,1,1,251,251,502,17,15,32,168,147,315,34.2602,-86.2062
-86.2049,34.2622,2,10000500871,2022-2023,AL,100005,AL-101,Albertville City,Albertville High School,402 E McCord Ave,,Albertville,AL,35950,2322,(256)894-5000,No,Not Virtual,9,12,High,1,Regular School,Currently operational ,32-Town: Distant,Marshall County,1254,1178,76,1059,,,,,,,,,,,493,442,390,387,,,,868,844,1712,1712,85.19999695,20.09,0,2,2,4,5,9,23,34,57,0,0,0,490,468,958,26,19,45,325,316,641,34.2622,-86.2049
-86.2201,34.2733,3,10000500879,2022-2023,AL,100005,AL-101,Albertville City,Albertville Intermediate School,901 W McKinney Ave,,Albertville,AL,35950,1300,(256)878-7698,No,Not Virtual,5,6,Middle,1,Regular School,Currently operational ,32-Town: Distant,Marshall County,718,665,53,570,,,,,,,412,462,,,,,,,,,,451,423,874,874,43,20.33,1,4,5,4,0,4,22,28,50,0,0,0,263,241,504,7,6,13,154,144,298,34.2733,-86.2201
-86.221806,34.2527,4,10000500889,2022-2023,AL,100005,AL-101,Albertville City,Albertville Elementary School,145 West End Drive,,Albertville,AL,35950,    ,(256)894-4822,No,Not Virtual,3,4,Elementary,1,Regular School,Currently operational ,32-Town: Distant,Marshall County,723,680,43,583,,,,,430,444,,,,,,,,,,,,463,411,874,874,43,20.33,0,4,4,1,3,4,22,16,38,0,0,0,261,236,497,11,16,27,168,136,304,34.2527,-86.221806
-86.1933,34.2898,5,10000501616,2022-2023,AL,100005,AL-101,Albertville City,Albertville Kindergarten and PreK,257 Country Club Rd,,Albertville,AL,35951,3927,(256)878-7922,No,Not Virtual,PK,KG,Elementary,1,Regular School,Currently operational ,32-Town: Distant,Marshall County,392,367,25,240,133,473,,,,,,,,,,,,,,,,304,302,606,606,26,23.31,1,3,4,2,0,2,26,23,49,0,0,0,167,152,319,4,4,8,104,120,224,34.2898,-86.1933
-86.2218,34.2533,6,10000502150,2022-2023,AL,100005,AL-101,Albertville City,Albertville Primary School,1100 Horton Rd,,Albertville,AL,35950,2532,(256)878-6611,No,Not Virtual,1,2,Elementary,1,Regular School,Currently operational ,32-Town: Distant,Marshall County,779,726,53,617,0,,427,517,,,,,,,,,,,,,,498,446,944,944,61,15.48,9,1,10,3,0,3,24,21,45,0,1,1,290,256,546,9,10,19,163,157,320,34.2533,-86.2218
-86.254153,34.53375,7,10000600193,2022-2023,AL,100006,AL-048,Marshall County,Kate Duncan Smith DAR Middle,6077 Main St,,Grant,AL,35747,    ,(256)728-5950,No,Not Virtual,5,8,Middle,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,151,123,28,194,,,,,,,95,97,86,86,,,,,,,,192,172,364,364,22.03000069,16.52,1,3,4,0,0,0,2,0,2,0,0,0,6,8,14,5,9,14,178,152,330,34.53375,-86.254153
-86.142,34.3625,8,10000600872,2022-2023,AL,100006,AL-048,Marshall County,Asbury High School,1990 Asbury Rd,,Albertville,AL,35951,    ,(256)878-4068,No,Not Virtual,6,12,High,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,555,501,54,491,,,,,,,,104,91,108,103,86,87,85,,,,350,314,664,664,34.27000046,19.38,1,1,2,1,1,2,8,3,11,0,2,2,162,156,318,2,3,5,176,148,324,34.3625,-86.142
-86.2704,34.4069,9,10000600876,2022-2023,AL,100006,AL-048,Marshall County,Claysville School,140 Claysville School Rd,,Guntersville,AL,35976,    ,(256)582-4444,No,Not Virtual,PK,PK,Prekindergarten,1,Regular School,Currently operational ,41-Rural: Fringe,Marshall County,-1,-1,-1,-1,0,,,,,,,,,,,,,,,,,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4069,-86.2704
-86.321259,34.176234,10,10000600877,2022-2023,AL,100006,AL-048,Marshall County,Douglas Elementary School,Highway 75,,Douglas,AL,35964,    ,(256)593-4420,No,Not Virtual,3,5,Elementary,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,245,223,22,316,0,,,,141,158,162,,,,,,,,,,,222,239,461,461,25,18.44,3,3,6,0,0,0,4,5,9,0,1,1,92,102,194,2,3,5,121,125,246,34.176234,-86.321259
-86.319462,34.178658,11,10000600878,2022-2023,AL,100006,AL-048,Marshall County,Douglas High School,225 Eagle Drive,,Douglas,AL,35964,    ,(256)593-2810,No,Not Virtual,9,12,High,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,334,320,14,438,,,,,,,,,,,202,177,139,156,,,,351,323,674,674,34.27000046,19.67,1,3,4,0,0,0,6,4,10,2,0,2,153,140,293,1,2,3,188,174,362,34.178658,-86.319462
-86.4421,34.3445,12,10000600880,2022-2023,AL,100006,AL-048,Marshall County,Brindlee Mountain Elementary School,2233 Shoal Creek Rd,,Arab,AL,35016,    ,(256)753-2246,No,Not Virtual,3,5,Elementary,1,Regular School,Currently operational ,41-Rural: Fringe,Marshall County,109,99,10,136,38,,,,77,52,69,,,,,,,,,,,128,108,236,236,11,21.45,0,0,0,4,0,4,2,1,3,0,0,0,2,5,7,0,3,3,120,99,219,34.3445,-86.4421
-86.254153,34.53375,13,10000600883,2022-2023,AL,100006,AL-048,Marshall County,Kate D Smith DAR High School,6077 Main St,,Grant,AL,35747,    ,(256)728-4238,No,Not Virtual,9,12,High,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,132,115,17,185,,,,,,,,,,,105,101,96,92,,,,184,210,394,394,23.46999931,16.79,1,1,2,1,4,5,3,2,5,0,0,0,7,8,15,4,4,8,168,191,359,34.53375,-86.254153
-86.422446,34.377151,14,10000600887,2022-2023,AL,100006,AL-048,Marshall County,Brindlee Mountain Primary School,1050 Scant City Road,,Guntersville,AL,35976,    ,(256)753-2532,No,Not Virtual,PK,2,Elementary,1,Regular School,Currently operational ,41-Rural: Fringe,Marshall County,134,116,18,175,0,73,83,71,,,,,,,,,,,,,,113,114,227,227,13.64999962,16.63,0,0,0,0,0,0,0,0,0,0,0,0,5,8,13,4,3,7,104,103,207,34.377151,-86.422446
-86.2704,34.4069,15,10000600986,2022-2023,AL,100006,AL-048,Marshall County,Marshall Alternative School,140 Claysville School Rd,,Guntersville,AL,35976,    ,(256)582-7554,No,Not Virtual,3,12,Other,1,Alternative Education School,Currently operational ,41-Rural: Fringe,Marshall County,-1,-1,-1,-1,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4069,-86.2704
-86.2859,34.3054,16,10000600987,2022-2023,AL,100006,AL-048,Marshall County,Marshall Technical School,12312 US Highway 431 S,,Guntersville,AL,35976,9351,(256)582-5629,No,Not Virtual,10,12,High,1,Career and Technical School,Currently operational ,41-Rural: Fringe,Marshall County,-1,-1,-1,-1,,,,,,,,,,,,0,0,0,,,,0,0,0,0,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3054,-86.2859
-86.322507,34.176774,17,10000601413,2022-2023,AL,100006,AL-048,Marshall County,Robert D Sloman Primary,200 Bethlehem Rd,,Douglas,AL,35964,    ,(256)593-4912,No,Not Virtual,PK,2,Elementary,1,Regular School,Currently operational ,42-Rural: Distant,Marshall County,300,283,17,329,87,166,185,158,,,,,,,,,,,,,,321,275,596,596,34.66999817,17.19,1,0,1,0,0,0,7,5,12,0,0,0,130,107,237,1,3,4,182,160,342,34.176774,-86.322507
-86.4219,34.3764,18,10000601585,2022-2023,AL,100006,AL-048,Marshall County,Brindlee Mountain High School,994 Scant City Road,,Guntersville,AL,35976,    ,(256)753-2800,No,Not Virtual,6,12,High,1,Regular School,Currently operational ,41-Rural: Fringe,Marshall County,280,251,29,382,,,,,,,,68,76,82,87,76,73,91,,,,302,251,553,553,30.5,18.13,3,1,4,2,3,5,7,3,10,0,0,0,25,15,40,4,4,8,261,225,486,34.3764,-86.4219
